Mitarbeiter_ID,Durchschnitt,Maximum
83798,20.533531,99.93248
11397,99.924614,99.924614
54466,33.212467,99.00862
23253,7.3628763e-07,4.4177204e-06
60360,1.1996495e-07,3.7134856e-07
48978,3.8402877e-08,2.2355913e-07
53311,3.581036e-09,1.9171969e-08
79409,2.332693e-09,1.3986658e-08
53214,1.6185182e-09,9.71077e-09
20971,1.5043335e-09,5.637339e-09
44090,2.0671247e-10,7.0163547e-10
51976,3.661087e-11,2.1965917e-10
40564,2.2997618e-11,1.3784225e-10
84330,4.2990117e-12,2.520191e-11
96030,2.8212673e-12,9.978997e-12
